Streaming output truncated to the last 5000 lines.
episode 1144 frame 569129 score 400.0 curiosity 0.30212970986030996
episode 1145 frame 569645 score 0.0 curiosity 0.23432663083076477
episode 1146 frame 570081 score 400.0 curiosity 0.15200775861740112
episode 1147 frame 570674 score 400.0 curiosity 0.28241902962327003
episode 1148 frame 571383 score 400.0 curiosity 0.5606271997094154
episode 1149 frame 571852 score 400.0 curiosity 0.2755223512649536
episode 1150 frame 572585 score 600.0 curiosity 0.5566801726818085
episode 1151 frame 573250 score 600.0 curiosity 0.48779159039258957
episode 1152 frame 573808 score 600.0 curiosity 0.23915129899978638
episode 1153 frame 574584 score 1000.0 curiosity 0.76472607254982
episode 1154 frame 575159 score 600.0 curiosity 0.35800011456012726
episode 1155 frame 575777 score 1000.0 curiosity 0.27017367631196976
episode 1156 frame 576366 score 400.0 curiosity 0.24485580623149872
episode 1157 frame 577062 score 400.0 curiosity 0.35513924434781075
episode 1158 frame 577645 score 600.0 curiosity 0.5656474530696869
episode 1159 frame 578348 score 1000.0 curiosity 0.677869837731123
episode 1160 frame 578772 score 0.0 curiosity 0.22083128988742828
episode 1161 frame 579261 score 600.0 curiosity 0.27400945872068405
episode 1162 frame 579837 score 600.0 curiosity 0.3551230877637863
episode 1163 frame 580511 score 1000.0 curiosity 0.4809870943427086
episode 1164 frame 581076 score 600.0 curiosity 0.21991606056690216
episode 1165 frame 581642 score 200.0 curiosity 0.4254513755440712
episode 1166 frame 582115 score 200.0 curiosity 0.251078262925148
episode 1167 frame 582495 score 200.0 curiosity 0.15283705294132233
episode 1168 frame 583090 score 800.0 curiosity 0.3258451372385025
episode 1169 frame 583684 score 400.0 curiosity 0.3987995460629463
episode 1170 frame 584087 score 200.0 curiosity 0.16614006459712982
episode 1171 frame 584800 score 800.0 curiosity 0.6382019221782684
episode 1172 frame 585293 score 400.0 curiosity 0.2636195421218872
episode 1173 frame 585682 score 400.0 curiosity 0.0
episode 1174 frame 586319 score 800.0 curiosity 0.28476305305957794
episode 1175 frame 586861 score 600.0 curiosity 0.2725793868303299
episode 1176 frame 587443 score 600.0 curiosity 0.544109970331192
episode 1177 frame 587915 score 600.0 curiosity 0.34497250616550446
episode 1178 frame 588505 score 600.0 curiosity 0.5449912995100021
episode 1179 frame 589097 score 600.0 curiosity 0.3227337375283241
episode 1180 frame 589625 score 600.0 curiosity 0.31082500517368317
episode 1181 frame 590161 score 800.0 curiosity 0.2985142916440964
episode 1182 frame 590698 score 800.0 curiosity 0.3292565904557705
episode 1183 frame 591378 score 1200.0 curiosity 0.6196622848510742
episode 1184 frame 591978 score 600.0 curiosity 0.28580543398857117
episode 1185 frame 592559 score 600.0 curiosity 0.6067088693380356
episode 1186 frame 593148 score 800.0 curiosity 0.22529193758964539
episode 1187 frame 593918 score 1000.0 curiosity 0.6791703850030899
episode 1188 frame 594529 score 600.0 curiosity 0.35332986153662205
episode 1189 frame 595008 score 200.0 curiosity 0.1963311731815338
episode 1190 frame 595631 score 1000.0 curiosity 0.540843054652214
episode 1191 frame 596285 score 400.0 curiosity 0.2826753184199333
episode 1192 frame 596875 score 800.0 curiosity 0.4329102039337158
episode 1193 frame 597544 score 1000.0 curiosity 0.2888074144721031
episode 1194 frame 598186 score 400.0 curiosity 0.4929821603000164
episode 1195 frame 598653 score 600.0 curiosity 0.20158402621746063
episode 1196 frame 599245 score 200.0 curiosity 0.3876876048743725
episode 1197 frame 599847 score 1000.0 curiosity 0.42425206303596497
episode 1198 frame 600474 score 200.0 curiosity 0.2869592383503914
episode 1199 frame 601167 score 600.0 curiosity 0.24852784536778927
episode 1200 frame 601732 score 400.0 curiosity 0.21599716320633888
episode 1201 frame 602349 score 600.0 curiosity 0.3481794111430645
episode 1202 frame 602733 score 200.0 curiosity 0.21659934520721436
episode 1203 frame 603282 score 800.0 curiosity 0.23175842314958572
episode 1204 frame 603885 score 600.0 curiosity 0.40275072306394577
episode 1205 frame 604460 score 600.0 curiosity 0.24474526196718216
episode 1206 frame 605038 score 600.0 curiosity 0.3377322629094124
episode 1207 frame 605765 score 800.0 curiosity 0.4550156369805336
episode 1208 frame 606462 score 1200.0 curiosity 0.4363207295536995
episode 1209 frame 607079 score 1200.0 curiosity 0.4454123005270958
episode 1210 frame 607745 score 800.0 curiosity 0.2919311560690403
episode 1211 frame 608345 score 400.0 curiosity 0.37278907373547554
episode 1212 frame 608939 score 800.0 curiosity 0.317742258310318
episode 1213 frame 609430 score 600.0 curiosity 0.49547162652015686
episode 1214 frame 610027 score 800.0 curiosity 0.4121589809656143
episode 1215 frame 610626 score 600.0 curiosity 0.3851873464882374
episode 1216 frame 611119 score 400.0 curiosity 0.1972951889038086
episode 1217 frame 611719 score 800.0 curiosity 0.27763766050338745
episode 1218 frame 612370 score 800.0 curiosity 0.4615922085940838
episode 1219 frame 612965 score 800.0 curiosity 0.3927565962076187
episode 1220 frame 613659 score 1200.0 curiosity 0.4646001309156418
episode 1221 frame 614316 score 800.0 curiosity 0.33140386641025543
episode 1222 frame 614836 score 800.0 curiosity 0.3115832209587097
episode 1223 frame 615437 score 600.0 curiosity 0.5198697000741959
episode 1224 frame 615856 score 200.0 curiosity 0.1928439550101757
episode 1225 frame 616419 score 800.0 curiosity 0.40796753019094467
episode 1226 frame 617051 score 1000.0 curiosity 0.2686316482722759
