Streaming output truncated to the last 5000 lines.
episode 1781 frame 933181 score 600.0 curiosity 0.08673357591032982
episode 1782 frame 934053 score 1400.0 curiosity 0.34030911326408386
episode 1783 frame 934703 score 400.0 curiosity 0.2377870324999094
episode 1784 frame 935608 score 1000.0 curiosity 0.31213513761758804
episode 1785 frame 936387 score 1200.0 curiosity 0.3859417885541916
episode 1786 frame 937260 score 1600.0 curiosity 0.3382212966680527
episode 1787 frame 937932 score 600.0 curiosity 0.20500943437218666
episode 1788 frame 938353 score 0.0 curiosity 0.052250005304813385
episode 1789 frame 939157 score 1600.0 curiosity 0.3220410719513893
episode 1790 frame 940019 score 1200.0 curiosity 0.40965087711811066
episode 1791 frame 940846 score 1400.0 curiosity 0.383131742477417
episode 1792 frame 941552 score 1200.0 curiosity 0.23867592215538025
episode 1793 frame 942150 score 200.0 curiosity 0.17295998521149158
episode 1794 frame 942917 score 800.0 curiosity 0.28276677429676056
episode 1795 frame 943522 score 600.0 curiosity 0.20665479451417923
episode 1796 frame 944344 score 1400.0 curiosity 0.3532761260867119
episode 1797 frame 945149 score 1400.0 curiosity 0.5332944914698601
episode 1798 frame 945953 score 800.0 curiosity 0.22463862225413322
episode 1799 frame 946705 score 1200.0 curiosity 0.4043257087469101
episode 1800 frame 947289 score 800.0 curiosity 0.16917579248547554
episode 1801 frame 948353 score 2500.0 curiosity 0.4129081432274688
episode 1802 frame 948997 score 800.0 curiosity 0.4388277009129524
episode 1803 frame 949505 score 600.0 curiosity 0.13847781717777252
episode 1804 frame 950401 score 1200.0 curiosity 0.4037059098482132
episode 1805 frame 951054 score 600.0 curiosity 0.08249711245298386
episode 1806 frame 952064 score 1800.0 curiosity 0.33862312883138657
episode 1807 frame 953197 score 2200.0 curiosity 0.38798660039901733
episode 1808 frame 954054 score 1600.0 curiosity 0.3660747930407524
episode 1809 frame 954601 score 600.0 curiosity 0.1300082616508007
episode 1810 frame 955470 score 1800.0 curiosity 0.3803437724709511
episode 1811 frame 956248 score 1000.0 curiosity 0.2602602541446686
episode 1812 frame 956969 score 1200.0 curiosity 0.15808184258639812
episode 1813 frame 957662 score 1000.0 curiosity 0.4192649722099304
episode 1814 frame 958509 score 1400.0 curiosity 0.2615810036659241
episode 1815 frame 959446 score 1600.0 curiosity 0.4592597857117653
episode 1816 frame 960895 score 3200.0 curiosity 0.6211352124810219
episode 1817 frame 961682 score 1400.0 curiosity 0.4036748483777046
episode 1818 frame 962506 score 1200.0 curiosity 0.3443317711353302
episode 1819 frame 963215 score 600.0 curiosity 0.3324253000319004
episode 1820 frame 963924 score 800.0 curiosity 0.31711719557642937
episode 1821 frame 964711 score 1400.0 curiosity 0.43234486877918243
episode 1822 frame 965395 score 600.0 curiosity 0.4091990552842617
episode 1823 frame 965998 score 400.0 curiosity 0.15894678980112076
episode 1824 frame 966838 score 1400.0 curiosity 0.36002757772803307
episode 1825 frame 967493 score 800.0 curiosity 0.27421320229768753
episode 1826 frame 968654 score 2400.0 curiosity 0.46269119903445244
episode 1827 frame 969386 score 1200.0 curiosity 0.19678756594657898
episode 1828 frame 970117 score 1000.0 curiosity 0.250169575214386
