Streaming output truncated to the last 5000 lines.
episode 1141 frame 749956 score 4400.0 curiosity 0.3892759448162222
episode 1142 frame 750629 score 400.0 curiosity 0.27471166799746527
episode 1143 frame 752692 score 4800.0 curiosity 0.20460822719312516
episode 1144 frame 753695 score 1400.0 curiosity 0.5336741580613444
episode 1145 frame 755068 score 3000.0 curiosity 0.35079509695999095
episode 1146 frame 756169 score 2000.0 curiosity 0.19332597698594514
episode 1147 frame 757155 score 1600.0 curiosity 0.25487662253689325
episode 1148 frame 757796 score 600.0 curiosity 0.19832709552279937
episode 1149 frame 759549 score 4000.0 curiosity 0.4243470670603497
episode 1150 frame 760247 score 800.0 curiosity 0.22163930184851616
episode 1151 frame 761302 score 1600.0 curiosity 0.20974636675661804
episode 1152 frame 761805 score 200.0 curiosity 0.550179664058658
episode 1153 frame 763645 score 4800.0 curiosity 0.27619665346925365
episode 1154 frame 764659 score 1600.0 curiosity 0.29434665647026664
episode 1155 frame 765489 score 1200.0 curiosity 0.2973306269958907
episode 1156 frame 766603 score 2200.0 curiosity 0.24337862297562124
episode 1157 frame 767692 score 2000.0 curiosity 0.22073270551509383
episode 1158 frame 768697 score 1400.0 curiosity 0.2687766365895781
episode 1159 frame 769055 score 0.0 curiosity 0.06492892362278034
episode 1160 frame 769504 score 600.0 curiosity 0.16722814948578
episode 1161 frame 770276 score 1400.0 curiosity 0.1749364169207885
episode 1162 frame 771012 score 800.0 curiosity 0.3053335689902494
episode 1163 frame 771734 score 1000.0 curiosity 0.2582901484405662
episode 1164 frame 772238 score 0.0 curiosity 0.42939814238507873
episode 1165 frame 772904 score 600.0 curiosity 0.5729353916741055
episode 1166 frame 773552 score 400.0 curiosity 0.2685762792406093
episode 1167 frame 774617 score 1600.0 curiosity 0.21931327891978838
episode 1168 frame 775354 score 600.0 curiosity 0.5863559589863
episode 1169 frame 777314 score 4800.0 curiosity 0.12203911721309016
episode 1170 frame 778099 score 1400.0 curiosity 0.778025399877556
episode 1171 frame 779022 score 1800.0 curiosity 0.2534792515064902
episode 1172 frame 779800 score 800.0 curiosity 0.2247967038398178
episode 1173 frame 780577 score 1000.0 curiosity 0.18724071446657914
episode 1174 frame 781391 score 1600.0 curiosity 0.6689306958474753
episode 1175 frame 783244 score 4400.0 curiosity 0.12731302589193344
episode 1176 frame 783963 score 1200.0 curiosity 0.21534294284965594
episode 1177 frame 785596 score 3600.0 curiosity 0.21327409888173848
episode 1178 frame 786525 score 1600.0 curiosity 0.25418762156726554
episode 1179 frame 788347 score 4800.0 curiosity 0.19557057655578589
episode 1180 frame 789770 score 3200.0 curiosity 0.09509849553086536
episode 1181 frame 790505 score 1000.0 curiosity 0.1515501537975596
episode 1182 frame 792391 score 4400.0 curiosity 0.2335804270832894
episode 1183 frame 793495 score 1800.0 curiosity 0.3167289777659625
episode 1184 frame 794217 score 1000.0 curiosity 0.12623611908567695
episode 1185 frame 795107 score 1600.0 curiosity 0.22011454044436313
episode 1186 frame 796055 score 1600.0 curiosity 0.3582607108749604
episode 1187 frame 796704 score 400.0 curiosity 0.22124445375806268
episode 1188 frame 798240 score 3200.0 curiosity 0.11458297154781619
episode 1189 frame 799505 score 2800.0 curiosity 0.3667682575677237
episode 1190 frame 800581 score 1800.0 curiosity 0.3594657379528823
